Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
1976,3,-1,0,0,0,0,0,1
420,3,-1,0,0,0,0,0,1
1769,3,-1,0,0,0,0,0,1
1971,3,-1,0,0,0,0,0,1
1934,3,-1,0,0,0,0,0,1
64,3,-1,0,0,0,0,0,1
1770,3,-1,0,0,0,0,0,1
1731,3,-1,0,0,0,0,0,1
370,3,-1,0,0,0,0,0,1
359,3,-1,0,0,0,0,0,1
967,3,-1,0,0,0,0,0,1
963,3,-1,0,0,0,0,0,1
1306,3,-1,0,0,0,0,0,1
1001,3,-1,0,0,0,0,0,1
400,3,-1,0,0,0,0,0,1
578,3,-1,0,0,0,0,0,1
893,3,-1,0,0,0,0,0,1
2120,3,-1,0,0,0,0,0,1
518,3,-1,0,0,0,0,0,1
326,3,-1,0,0,0,0,0,1
524,3,-1,0,0,0,0,0,1
1956,3,-1,0,0,0,0,0,1
1233,3,-1,0,0,0,0,0,1
1049,3,-1,0,0,0,0,0,1
488,3,-1,0,0,0,0,0,1
1232,3,-1,0,0,0,0,0,1
752,3,-1,0,0,0,0,0,1
2037,3,-1,0,0,0,0,0,1
328,3,-1,0,0,0,0,0,1
1257,3,-1,0,0,0,0,0,1
862,3,-1,0,0,0,0,0,1
1496,3,-1,0,0,0,0,0,1
1185,3,-1,0,0,0,0,0,1
748,3,-1,0,0,0,0,0,1
488,3,-1,0,0,0,0,0,1
1327,3,-1,0,0,0,0,0,1
750,3,-1,0,0,0,0,0,1
488,3,-1,0,0,0,0,0,1
594,3,-1,0,0,0,0,0,1
587,3,-1,0,0,0,0,0,1
683,3,-1,0,0,0,0,0,1
2252,3,-1,0,0,0,0,0,1
1316,3,-1,0,0,0,0,0,1
518,3,-1,0,0,0,0,0,1
571,3,-1,0,0,0,0,0,1
1318,3,-1,0,0,0,0,0,1
518,3,-1,0,0,0,0,0,1
674,3,-1,0,0,0,0,0,1
1096,3,-1,0,0,0,0,0,1
674,3,-1,0,0,0,0,0,1
674,3,-1,0,0,0,0,0,1
518,3,-1,0,0,0,0,0,1
1317,3,-1,0,0,0,0,0,1
2251,3,-1,0,0,0,0,0,1
1096,3,-1,0,0,0,0,0,1
2163,3,-1,0,0,0,0,0,1
50,3,-1,0,0,0,0,0,1
1005,3,-1,0,0,0,0,0,1
2251,3,-1,0,0,0,0,0,1
1316,3,-1,0,0,0,0,0,1
1227,3,-1,0,0,0,0,0,1
882,3,-1,0,0,0,0,0,1
1620,3,-1,0,0,0,0,0,1
46,3,-1,0,0,0,0,0,1
239,3,-1,0,0,0,0,0,1
230,3,-1,0,0,0,0,0,1
225,3,-1,0,0,0,0,0,1
230,3,-1,0,0,0,0,0,1
239,3,-1,0,0,0,0,0,1
239,3,-1,0,0,0,0,0,1
217,3,-1,0,0,0,0,0,1
1849,3,-1,0,0,0,0,0,1
68,3,-1,0,0,0,0,0,1
239,3,-1,0,0,0,0,0,1
502,3,-1,0,0,0,0,0,1
502,3,-1,0,0,0,0,0,1
488,3,-1,0,0,0,0,0,1
2016,3,-1,0,0,0,0,0,1
2016,3,-1,0,0,0,0,0,1
437,3,-1,0,0,0,0,0,1
437,3,-1,0,0,0,0,0,1
618,3,-1,0,0,0,0,0,1
609,3,-1,0,0,0,0,0,1
602,3,-1,0,0,0,0,0,1
602,3,-1,0,0,0,0,0,1
602,3,-1,0,0,0,0,0,1
602,3,-1,0,0,0,0,0,1
591,3,-1,0,0,0,0,0,1
2150,3,-1,0,0,0,0,0,1
2080,3,-1,0,0,0,0,0,1
2085,3,-1,0,0,0,0,0,1
2080,3,-1,0,0,0,0,0,1
591,3,-1,0,0,0,0,0,1
615,3,-1,0,0,0,0,0,1
592,3,-1,0,0,0,0,0,1
592,3,-1,0,0,0,0,0,1
610,3,-1,0,0,0,0,0,1
509,3,-1,0,0,0,0,0,1
509,3,-1,0,0,0,0,0,1
523,3,-1,0,0,0,0,0,1
509,3,-1,0,0,0,0,0,1
503,3,-1,0,0,0,0,0,1
189,3,-1,0,0,0,0,0,0
1069,3,-1,0,0,0,0,0,0
144,3,-1,0,0,0,0,0,0
1074,3,-1,0,0,0,0,0,0
1085,3,-1,0,0,0,0,0,0
1056,3,-1,0,0,0,0,0,0
1053,3,-1,0,0,0,0,0,0
1053,3,-1,0,0,0,0,0,0
332,3,-1,0,0,0,0,0,0
264,3,-1,0,0,0,0,0,0
1062,3,-1,0,0,0,0,0,0
1053,3,-1,0,0,0,0,0,0
1076,3,-1,0,0,0,0,0,0
1078,3,-1,0,0,0,0,0,0
243,3,-1,0,0,0,0,0,0
175,3,-1,0,0,0,0,0,0
1075,3,-1,0,0,0,0,0,0
1084,3,-1,0,0,0,0,0,0
1101,3,-1,0,0,0,0,0,0
1053,3,-1,0,0,0,0,0,0
1056,3,-1,0,0,0,0,0,0
1071,3,-1,0,0,0,0,0,0
1394,3,-1,0,0,0,0,0,0
620,3,-1,0,0,0,0,0,0
143,3,-1,0,0,0,0,0,0
1078,3,-1,0,0,0,0,0,0
1053,3,-1,0,0,0,0,0,0
1060,3,-1,0,0,0,0,0,0
186,3,-1,0,0,0,0,0,0
332,3,-1,0,0,0,0,0,0
143,3,-1,0,0,0,0,0,0
1105,3,-1,0,0,0,0,0,0
1337,3,-1,0,0,0,0,0,0
179,3,-1,0,0,0,0,0,0
169,3,-1,0,0,0,0,0,0
298,3,-1,0,0,0,0,0,0
276,3,-1,0,0,0,0,0,0
1053,3,-1,0,0,0,0,0,0
203,3,-1,0,0,0,0,0,0
143,3,-1,0,0,0,0,0,0
243,3,-1,0,0,0,0,0,0
298,3,-1,0,0,0,0,0,0
467,3,-1,0,0,0,0,0,0
213,3,-1,0,0,0,0,0,0
332,3,-1,0,0,0,0,0,0
213,3,-1,0,0,0,0,0,0
213,3,-1,0,0,0,0,0,0
186,3,-1,0,0,0,0,0,0
334,3,-1,0,0,0,0,0,0
1053,3,-1,0,0,0,0,0,0
1408,3,-1,0,0,0,0,0,0
143,3,-1,0,0,0,0,0,0
532,3,-1,0,0,0,0,0,0
2166,3,-1,0,0,0,0,0,0
1675,3,-1,0,0,0,0,0,0
1425,3,-1,0,0,0,0,0,0
2066,3,-1,0,0,0,0,0,0
237,3,-1,0,0,0,0,0,0
237,3,-1,0,0,0,0,0,0
237,3,-1,0,0,0,0,0,0
237,3,-1,0,0,0,0,0,0
1207,3,-1,0,0,0,0,0,0
429,3,-1,0,0,0,0,0,1
720,3,-1,0,0,0,0,0,1
1107,3,-1,0,0,0,0,0,1
1107,3,-1,0,0,0,0,0,1
720,3,-1,0,0,0,0,0,1
430,3,-1,0,0,0,0,0,1
1107,3,-1,0,0,0,0,0,1
720,3,-1,0,0,0,0,0,1
429,3,-1,0,0,0,0,0,1
740,3,-1,0,0,0,0,0,1
437,3,-1,0,0,0,0,0,1
437,3,-1,0,0,0,0,0,1
437,3,-1,0,0,0,0,0,1
437,3,-1,0,0,0,0,0,1
224,3,-1,0,0,0,0,0,1
230,3,-1,0,0,0,0,0,1
230,3,-1,0,0,0,0,0,1
224,3,-1,0,0,0,0,0,1
224,3,-1,0,0,0,0,0,1
226,3,-1,0,0,0,0,0,1
224,3,-1,0,0,0,0,0,1
617,3,-1,0,0,0,0,0,1
617,3,-1,0,0,0,0,0,1
617,3,-1,0,0,0,0,0,1
237,0,-1,0,0,0,0,0,0
237,0,-1,0,0,0,0,0,0
237,0,-1,0,0,0,0,0,0
237,0,-1,0,0,0,0,0,0
1221,0,-1,0,0,0,0,0,0
233,0,-1,0,0,0,0,0,0
2166,0,-1,0,0,0,0,0,0
684,0,-1,0,0,0,0,0,0
684,0,-1,0,0,0,0,0,0
2166,0,-1,0,0,0,0,0,0
2166,0,-1,0,0,0,0,0,0
594,0,-1,0,0,0,0,0,0
1211,0,-1,0,0,0,0,0,0
2166,0,-1,0,0,0,0,0,0
1114,0,-1,0,0,0,0,0,0
944,0,-1,0,0,0,0,0,0
1870,0,-1,0,0,0,0,0,0
1644,0,-1,0,0,0,0,0,0
1602,0,-1,0,0,0,0,0,0
1338,0,-1,0,0,0,0,0,0
1464,0,-1,0,0,0,0,0,0
1469,0,-1,0,0,0,0,0,0
1589,0,-1,0,0,0,0,0,0
1591,0,-1,0,0,0,0,0,0
1564,0,-1,0,0,0,0,0,0
100,0,-1,0,0,0,0,0,0
101,0,-1,0,0,0,0,0,0
1575,0,-1,0,0,0,0,0,0
1478,0,-1,0,0,0,0,0,0
1581,0,-1,0,0,0,0,0,0
1508,0,-1,0,0,0,0,0,0
2133,0,-1,0,0,0,0,0,0
1594,0,-1,0,0,0,0,0,0
1055,0,-1,0,0,0,0,0,0
1644,0,-1,0,0,0,0,0,0
1580,0,-1,0,0,0,0,0,0
100,0,-1,0,0,0,0,0,0
1542,0,-1,0,0,0,0,0,0
2201,0,-1,0,0,0,0,0,0
1457,0,-1,0,0,0,0,0,0
1351,0,-1,0,0,0,0,0,0
1556,0,-1,0,0,0,0,0,0
1564,0,-1,0,0,0,0,0,0
1503,0,-1,0,0,0,0,0,0
1435,0,-1,0,0,0,0,0,0
